Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
1,2017-18,Pac-12,3,5,.375,3.98,7.60,76.1,79.8,,,,,Jerod Haase (3-5)
2,2016-17,Pac-12,14,17,.452,6.39,8.59,69.7,71.1,,,,,Jerod Haase (14-17)
3,2015-16,Pac-12,15,15,.500,8.06,10.41,69.6,70.4,,,,,Johnny Dawkins (15-15)
4,2014-15,Pac-12,24,13,.649,12.33,7.33,72.3,67.3,,,,,Johnny Dawkins (24-13)
5,2013-14,Pac-12,23,13,.639,13.42,9.00,72.7,68.3,,,,Lost Regional Semifinal,Johnny Dawkins (23-13)
6,2012-13,Pac-12,19,15,.559,11.40,7.37,70.5,66.5,,,,,Johnny Dawkins (19-15)
7,2011-12,Pac-12,26,11,.703,12.64,3.99,71.8,63.2,,,,,Johnny Dawkins (26-11)
8,2010-11,Pac-10,15,16,.484,6.40,5.17,66.4,65.2,,,,,Johnny Dawkins (15-16)
9,2009-10,Pac-10,14,18,.438,5.71,6.50,69.1,69.9,,,,,Johnny Dawkins (14-18)
10,2008-09,Pac-10,20,14,.588,10.58,6.91,73.2,68.6,,,,,Johnny Dawkins (20-14)
11,2007-08,Pac-10,28,8,.778,16.31,6.95,70.9,61.6,23,7,10,Lost Regional Semifinal,Trent Johnson (28-8)
12,2006-07,Pac-10,18,13,.581,11.16,9.06,69.5,67.1,,23,,Lost First Round,Trent Johnson (18-13)
13,2005-06,Pac-10,16,14,.533,9.52,8.21,66.4,65.3,13,13,,,Trent Johnson (16-14)
14,2004-05,Pac-10,18,13,.581,9.10,8.13,70.1,68.8,,,,Lost First Round,Trent Johnson (18-13)
15,2003-04,Pac-10,30,2,.938,17.46,4.34,73.6,60.5,19,1,1,Lost Second Round,Mike Montgomery (30-2)
16,2002-03,Pac-10,24,9,.727,13.25,8.37,72.5,67.6,,15,18,Lost Second Round,Mike Montgomery (24-9)
17,2001-02,Pac-10,20,10,.667,17.03,9.03,80.7,72.7,13,10,24,Lost Second Round,Mike Montgomery (20-10)
18,2000-01,Pac-10,31,3,.912,25.76,9.86,83.2,65.5,4,1,2,Lost Regional Final,Mike Montgomery (31-3)
19,1999-00,Pac-10,27,4,.871,25.65,7.12,78.9,59.7,13,1,3,Lost Second Round,Mike Montgomery (27-4)
20,1998-99,Pac-10,26,7,.788,22.21,10.34,73.5,60.8,3,3,7,Lost Second Round,Mike Montgomery (26-7)
21,1997-98,Pac-10,30,5,.857,19.00,8.18,80.2,68.3,14,4,10,Lost National Semifinal,Mike Montgomery (30-5)
22,1996-97,Pac-10,22,8,.733,19.73,9.05,80.9,69.0,18,15,21,Lost Regional Semifinal,Mike Montgomery (22-8)
23,1995-96,Pac-10,20,9,.690,14.85,6.33,75.2,66.7,18,16,,Lost Second Round,Mike Montgomery (20-9)
24,1994-95,Pac-10,20,9,.690,13.15,7.32,79.0,73.1,,15,,Lost Second Round,Mike Montgomery (20-9)
25,1993-94,Pac-10,17,11,.607,10.72,7.64,74.7,71.5,,,,,Mike Montgomery (17-11)
26,1992-93,Pac-10,7,23,.233,0.06,6.06,66.3,70.5,,,,,Mike Montgomery (7-23)
27,1991-92,Pac-10,18,11,.621,15.91,8.19,75.7,68.0,,24,,Lost First Round,Mike Montgomery (18-11)
28,1990-91,Pac-10,20,13,.606,14.95,9.31,76.9,71.8,,,,,Mike Montgomery (20-13)
29,1989-90,Pac-10,18,12,.600,9.90,6.79,67.7,63.7,,,,,Mike Montgomery (18-12)
30,1988-89,Pac-10,26,7,.788,20.00,8.67,76.3,65.0,20,12,13,Lost First Round,Mike Montgomery (26-7)
31,1987-88,Pac-10,21,12,.636,11.35,6.19,78.1,72.8,,,,,Mike Montgomery (21-12)
32,1986-87,Pac-10,15,13,.536,4.00,4.85,71.5,71.5,,,,,Mike Montgomery (15-13)
33,1985-86,Pac-10,14,16,.467,2.69,4.50,74.1,70.3,,,,,Tom Davis (14-16)
34,1984-85,Pac-10,11,17,.393,-0.74,4.10,67.7,67.8,,,,,Tom Davis (11-17)
35,1983-84,Pac-10,19,12,.613,3.64,2.39,74.5,68.3,,,,,Tom Davis (19-12)
36,1982-83,Pac-10,14,14,.500,3.93,3.10,75.8,73.0,,,,,Tom Davis (14-14)
37,1981-82,Pac-10,7,20,.259,-1.72,4.47,66.9,72.8,,,,,Dick DiBiaso (7-20)
38,1980-81,Pac-10,9,18,.333,-1.37,6.07,67.2,73.6,,,,,Dick DiBiaso (9-18)
39,1979-80,Pac-10,7,19,.269,-1.04,4.85,67.6,74.3,,,,,Dick DiBiaso (7-19)
40,1978-79,Pac-10,12,15,.444,2.88,6.08,70.7,73.3,,,,,Dick DiBiaso (12-15)
41,1977-78,Pac-8,13,14,.481,0.65,5.07,72.8,75.9,,,,,Dick DiBiaso (13-14)
42,1976-77,Pac-8,11,16,.407,-1.88,4.24,75.7,80.0,,,,,Dick DiBiaso (11-16)
43,1975-76,Pac-8,9,18,.333,2.25,6.41,73.6,76.8,,,,,Dick DiBiaso (9-18)
44,1974-75,Pac-8,12,14,.462,8.95,7.64,72.4,71.1,,15,,,Howard Dallmar (12-14)
45,1973-74,Pac-8,11,14,.440,8.94,5.82,67.3,64.2,,,,,Howard Dallmar (11-14)
46,1972-73,Pac-8,14,11,.560,7.62,5.26,68.8,66.4,,,,,Howard Dallmar (14-11)
47,1971-72,Pac-8,10,15,.400,2.81,6.68,75.8,79.0,,,,,Howard Dallmar (10-15)
48,1970-71,Pac-8,6,20,.231,-0.34,7.31,73.1,80.7,,,,,Howard Dallmar (6-20)
49,1969-70,Pac-8,5,20,.200,-0.41,7.47,75.6,81.7,,,,,Howard Dallmar (5-20)
50,1968-69,Pac-8,8,17,.320,2.29,5.77,73.0,72.0,,,,,Howard Dallmar (8-17)
51,1967-68,AAWU,10,15,.400,2.81,6.61,75.9,79.1,,,,,Howard Dallmar (10-15)
52,1966-67,AAWU,15,11,.577,2.25,3.64,71.0,72.4,,,,,Howard Dallmar (15-11)
53,1965-66,AAWU,13,12,.520,3.81,3.89,70.3,70.4,,,,,Howard Dallmar (13-12)
54,1964-65,AAWU,15,8,.652,8.38,3.07,70.5,65.2,,,,,Howard Dallmar (15-8)
55,1963-64,AAWU,15,10,.600,11.06,5.10,69.1,63.1,,,,,Howard Dallmar (15-10)
56,1962-63,AAWU,16,9,.640,12.31,6.87,64.3,58.9,,7,,,Howard Dallmar (16-9)
57,1961-62,AAWU,16,6,.727,10.57,4.62,78.5,68.5,,,,,Howard Dallmar (16-6)
58,1960-61,AAWU,7,17,.292,1.64,5.39,,,,,,,Howard Dallmar (7-17)
59,1959-60,AAWU,11,14,.440,6.74,5.98,55.8,55.0,,,,,Howard Dallmar (11-14)
60,1958-59,PCC,15,9,.625,1.54,0.70,57.6,56.8,,,,,Howard Dallmar (15-9)
61,1957-58,PCC,12,13,.480,2.04,2.92,59.6,60.5,,,,,Howard Dallmar (12-13)
62,1956-57,PCC,11,15,.423,-0.09,1.11,63.2,64.0,,,,,Howard Dallmar (11-15)
63,1955-56,PCC,18,6,.750,4.94,0.56,65.7,61.3,,19,,,Howard Dallmar (18-6)
64,1954-55,PCC,16,8,.667,9.04,9.37,72.8,70.0,,,,,Howard Dallmar (16-8)
65,1953-54,PCC,13,10,.565,5.47,4.76,76.6,73.1,,,,,Robert Burnett (13-10)
66,1952-53,PCC,6,17,.261,-2.27,6.01,77.7,86.2,,,,,Robert Burnett (6-17)
67,1951-52,PCC,19,9,.679,4.10,3.10,72.0,68.9,,13,,,Robert Burnett (19-9)
68,1950-51,PCC,12,14,.462,3.14,5.93,62.0,63.9,,,,,Everett Dean (12-14)
69,1949-50,PCC,11,14,.440,-1.93,1.33,57.5,58.1,,,,,Everett Dean (11-14)
70,1948-49,PCC,19,9,.679,,,56.4,51.9,,9,,,Everett Dean (19-9)
71,1947-48,PCC,15,11,.577,,,45.8,43.3,,,,,Everett Dean (15-11)
