Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2017,Pac-12,9,3,0,.750,13.01,4.93,14,14,,David Shaw (9-3),,
2,2016,Pac-12,10,3,0,.769,12.54,5.23,8,7,12,David Shaw (10-3),Sun Bowl-W,
3,2015,Pac-12,12,2,0,.857,18.81,5.17,21,3,3,David Shaw (12-2),Rose Bowl-W,
4,2014,Pac-12,8,5,0,.615,12.42,4.65,11,11,,David Shaw (8-5),Foster Farms Bowl-W,
5,2013,Pac-12,11,3,0,.786,18.96,8.74,4,4,11,David Shaw (11-3),Rose Bowl-L,
6,2012,Pac-12,12,2,0,.857,15.58,6.58,21,7,7,David Shaw (12-2),Rose Bowl-W,
7,2011,Pac-12,11,2,0,.846,17.78,3.09,7,3,7,David Shaw (11-2),Fiesta Bowl-L,
8,2010,Pac-10,12,1,0,.923,21.80,5.03,,4,4,Jim Harbaugh (12-1),Orange Bowl-W,
9,2009,Pac-10,8,5,0,.615,10.88,3.42,,14,,Jim Harbaugh (8-5),Sun Bowl-L,
10,2008,Pac-10,5,7,0,.417,-0.04,3.79,,,,Jim Harbaugh (5-7),,
11,2007,Pac-10,4,8,0,.333,-1.10,6.57,,,,Jim Harbaugh (4-8),,
12,2006,Pac-10,1,11,0,.083,-8.73,7.93,,,,Walt Harris (1-11),,
13,2005,Pac-10,5,6,0,.455,1.19,6.19,,,,Walt Harris (5-6),,
14,2004,Pac-10,4,7,0,.364,6.27,7.37,,,,Buddy Teevens (4-7),,
15,2003,Pac-10,4,7,0,.364,-2.82,4.63,,,,Buddy Teevens (4-7),,
16,2002,Pac-10,2,9,0,.182,-4.50,7.87,,,,Buddy Teevens (2-9),,
17,2001,Pac-10,9,3,0,.750,12.13,5.13,,10,16,Tyrone Willingham (9-3),Seattle Bowl-L,
18,2000,Pac-10,5,6,0,.455,5.85,8.12,,,,Tyrone Willingham (5-6),,
19,1999,Pac-10,8,4,0,.667,7.97,2.06,,22,,Tyrone Willingham (8-4),Rose Bowl-L,
20,1998,Pac-10,3,8,0,.273,-2.70,5.66,,,,Tyrone Willingham (3-8),,
21,1997,Pac-10,5,6,0,.455,4.64,7.55,18,16,,Tyrone Willingham (5-6),,
