Mona Lisa,1950,1919,Nat King Cole
Tennessee Waltz,1950,1927,Patti Page
I'll Never Be Free,1950,1919,Tennessee Ernie Ford
All My Love,1950,1927,Patti Page
Hoop-Dee-Doo,1950,1912,Perry Como
Dear Hearts And Gentle People,1950,1903,Bing Crosby
Cry Of The Wild Goose,1950,1913,Frankie Laine
Too Young,1951,1919,Nat King Cole
Because Of You,1951,1926,Tony Bennett
Come On-a My House,1951,1928,Rosemary Clooney
"Cold, Cold Heart",1951,1926,Tony Bennett
If,1951,1912,Perry Como
Tennessee Waltz,1951,1927,Patti Page
Jezebel,1951,1913,Frankie Laine
Mockin' Bird Hill,1951,1927,Patti Page
"Rose, Rose I Love You",1951,1913,Frankie Laine
You're Just In Love,1951,1912,Perry Como
Because Of You,1951,1922,Les Baxter
Half As Much,1952,1928,Rosemary Clooney
I Went To Your Wedding,1952,1927,Patti Page
Here In My Heart,1952,1927,Al Martino
Botch-a-me,1952,1928,Rosemary Clooney
High Noon,1952,1913,Frankie Laine
No Other Love,1953,1912,Perry Como
Don't Let The Stars Get In Your Eyes,1953,1912,Perry Como
I Believe,1953,1913,Frankie Laine
Ebb Tide,1953,1914,Frank Chacksfield
Pretend,1953,1919,Nat King Cole
Rags To Riches,1953,1926,Tony Bennett
Say You're Mine Again,1953,1912,Perry Como
Tell Me A Story,1953,1913,Frankie Laine
C'est Si Bon,1953,1927,Eartha Kitt
Wanted,1954,1912,Perry Como
Hey There,1954,1928,Rosemary Clooney
This Ole House,1954,1928,Rosemary Clooney
Cross Over The Bridge,1954,1927,Patti Page
That's Amore,1954,1917,Dean Martin
Answer Me My Love,1954,1919,Nat King Cole
Stranger In Paradise,1954,1926,Tony Bennett
Changing Partners,1954,1927,Patti Page
Papa Loves Mambo,1954,1912,Perry Como
Rags To Riches,1954,1926,Tony Bennett
Unchained Melody,1955,1922,Les Baxter
Ain't That A Shame,1955,1934,Pat Boone
Sixteen Tons,1955,1919,Tennessee Ernie Ford
